Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"CAM HR Resources, LLC",,Open,11/27/2018,,"20 to 99",3,"CA, IL, NY"
"Camarillo Palace Stadium 12 & Imax",,Terminated,09/29/2011,06/20/2014,"100 to 499",1,CA
Cambia,,Open,12/10/2009,,"5,000 to 9,999",11,"ID, OR, UT, WA"
"Cambria Financial Group","Cambria Mortgage",Open,04/29/2019,,"20 to 99",4,MN
"Cambria Financial Group, LLC",,Open,05/07/2013,,"20 to 99",1,MN
"Cambria Thrift",,Open,04/18/2018,,"10 to 19",4,PA
"Cambria Title",,Open,05/07/2013,,"5 to 9",1,MN
"Cambridge Alliance Capital LLC","Cambridge Alliance Capital LLC",Open,12/17/2012,,"10 to 19",1,NY
"Cambridge Savings Bank","CSB Cambridge Savings bank",Open,02/09/2018,,"100 to 499",1,MA
"Camden Development, Inc",,Open,01/28/2011,,"1,000 to 2,499",197,"AZ, CA, CO, DC, FL, GA, KY, MD, MO, NC, NV, PA, TX, VA"
"Camden Development, Inc",,Open,10/15/2009,,"1,000 to 2,499",1,TX
"Camden Development, Inc.","Camden Property Trust",Open,05/01/2019,,"1,000 to 2,499",170,"AZ, CA, CO, DC, FL, GA, MD, NC, TX, VA"
"Camelback Fiduciary",,Open,05/21/2019,,"10 to 19",1,AZ
"Cameron & Co., CPA, Inc.",,Open,07/26/2011,,"100 to 499",1,AL
"Cameron & Roberts Insurance Agency, Inc.",,Open,01/06/2014,,"10 to 19",1,GA
"Cameron M. Harris & Company, LLC",,Open,11/11/2013,,"20 to 99",1,NC
"Camino Federal Credit Union",,Open,03/08/2019,,"20 to 99",1,CA
"Camino Financial, Inc.","Camino Financial",Open,09/16/2015,,"5 to 9",1,CA
"Cammack Retirement Group Inc",,Terminated,09/14/2015,03/13/2019,"20 to 99",2,"MA, NY"
"Campbell & Company",,Open,11/27/2018,,"100 to 499",1,MD
"Campbell & Company, Inc.",,Open,08/06/2009,,"100 to 499",1,MD
"Campbell and Company",,Open,10/08/2019,,"20 to 99",2,"MD, NY"
"Campbell Lutyens & Co Inc.",,Open,03/18/2020,,"20 to 99",1,NY
"Campbell Schoneberger & Associates, Ltd.",,Open,05/11/2010,,"5 to 9",1,AZ
"Campus Benefits, LLC",,Open,08/24/2016,,"10 to 19",1,GA
"Campus Collection",,Open,06/08/2012,,"20 to 99",1,AL
"Campus USA Credit Union",,Open,01/25/2017,,"100 to 499",1,FL
"Camron Erway State Farm Insurance",,Open,01/11/2013,,"5 to 9",1,MO
"CAN Capital",,Open,10/23/2015,,"100 to 499",3,"GA, NY, UT"
"Canaccord Genuity","Canaccord Genuity",Terminated,06/20/2016,10/14/2016,"100 to 499",9,"CA, IL, MA, NY, TN, TX"
"Canaccord Genuity Inc.",,Terminated,08/30/2012,10/14/2016,"100 to 499",1,NY
"Canaccord Genuity Securities LLC",,Terminated,12/30/2008,09/29/2012,"100 to 499",1,NY
"Canadian Imperial Bank of Commerce",,Open,02/20/2019,,"10,000 and over",4,"CA, IL, NY, TX"
"CanAide, Inc",,Open,01/28/2019,,"100 to 499",1,FL
"CanAide, Inc.",,Open,04/09/2018,,"20 to 99",2,FL
"Canal Insurance Company",,Open,07/21/2009,,"100 to 499",1,SC
"Canal Insurance Company",,Open,11/01/2017,,"100 to 499",1,SC
"CanAm PIDC Regional Center, LLC",,Open,06/08/2010,,"10 to 19",32,PA
"Candid Investigation Services",,Open,07/24/2013,,"5 to 9",2,"NM, TX"
"Candlestick Capital Management LP","Candlestick Capital",Open,11/05/2019,,"20 to 99",3,"CO, CT, NY"
"Cannon Cochran Management Services, Inc.",CCMSI,Open,07/17/2015,,"1,000 to 2,499",41,"AR, AZ, CA, CO, FL, IA, IL, KS, KY, LA, MA, ME, MI, MN, MO, MS, NH, NJ, NM, NV, OH, OR, PA, TN, TX, WI"
"Cannon Financial Strategists,Inc.","Cannon Financial Strategists,Inc.",Open,03/10/2014,,"10 to 19",1,GA
"Cannon Point Partners LLC",,Open,04/25/2019,,"5 to 9",3,"CA, NJ, NY"
"Canon Financial Services, INC.",,Open,06/03/2013,,"100 to 499",3,"FL, IL, NJ"
"Canon Recruiting Group",,Terminated,12/16/2008,03/09/2009,"5 to 9",1,CA
"Canterbury Consulting",,Open,08/23/2012,,"20 to 99",1,CA
"Cantor Fitzgerald",,Open,10/10/2012,,"1,000 to 2,499",1,NY
"Canusa Advantage LLC","Allstate Walker Insurance Group",Open,11/16/2012,,"5 to 9",1,AZ
"Canvas Credit Union",,Open,12/19/2013,,"500 to 999",28,CO
"Canvas Credit Union",,Open,05/07/2019,,"500 to 999",27,CO
"Canvas FRG, LLC",,Open,02/19/2016,,"10 to 19",1,CT
"Canyon Bridge Management Corp.","Canyon Bridge Capital Partners LLC",Open,07/19/2017,,"5 to 9",1,CA
"Canyon Community Bank",,Terminated,03/27/2008,10/12/2019,"20 to 99",1,AZ
"Canyon National Bank",,Open,08/20/2009,,"20 to 99",1,CA
"Canyon Partners, LLC",,Open,07/29/2009,,"100 to 499",1,CA
"Canyon State Credit Union",,Open,08/17/2007,,"20 to 99",5,AZ
"Cape Bank",,Open,11/24/2008,,"100 to 499",1,NJ
"Cape Fear Farm Credit, ACA",,Open,07/24/2013,,"20 to 99",1,NC
"Cape Securities Inc",,Open,02/06/2014,,"20 to 99",1,GA
"CAPE SECURITIES, INC.",,Open,02/05/2014,,"20 to 99",1,GA
"CAPELLA MORTGAGE CORP.",,Terminated,07/25/2017,09/20/2017,"5 to 9",1,NV
"Capfinancial Partners LLC",CAPTRUST,Open,07/19/2013,,"100 to 499",1,NC
"Capital Accounting, Inc.",,Open,08/16/2019,,"10 to 19",1,AZ
"Capital Advice, llc",,Open,09/23/2008,,"5 to 9",1,AZ
"CAPITAL ADVISORS, INC.",,Open,04/08/2013,,"10 to 19",3,"OK, TX"
"Capital Analysts of New England Inc.",,Terminated,03/05/2019,09/05/2019,"20 to 99",3,MA
"Capital Area Services Company, Inc.",,Open,12/19/2008,,"500 to 999",1,WV
"Capital Area Services Corporation, LLC",,Open,08/06/2014,,"500 to 999",1,WV
"Capital Bank",,Terminated,05/09/2012,05/10/2012,"1,000 to 2,499",38,FL
"Capital Bank",,Open,09/24/2012,,"500 to 999",65,"TN, VA"
"Capital Bank",,Open,04/18/2014,,"20 to 99",3,TX
"Capital Bank",,Terminated,11/24/2008,01/29/2009,"100 to 499",1,NC
"Capital Bank","Capital Bank",Open,12/20/2012,,"20 to 99",1,GA
"Capital Bank Corporation",,Open,07/28/2016,,"20 to 99",1,FL
"Capital Bank Corporation",,Open,12/18/2015,,"1,000 to 2,499",207,"FL, NC, NY, SC, TN, VA"
"Capital Bank Corporation","Capital Bank",Open,08/15/2008,,"1,000 to 2,499",188,"FL, NC, NY, SC, SD"
"Capital BlueCross",,Open,01/31/2010,,"1,000 to 2,499",2,PA
"Capital Card Services, Inc.","Capital Services",Open,04/25/2016,,"100 to 499",2,SD
"Capital Center, L.L.C.",,Open,06/09/2016,,"20 to 99",1,VA
"Capital Choice Financial Services, Inc.",,Terminated,01/16/2014,12/30/2017,"10 to 19",1,GA
"Capital Cities, L.L.C.",,Terminated,04/25/2008,08/30/2015,"5 to 9",1,IN
"Capital Cities, LLC",,Open,07/30/2015,,"10 to 19",1,IN
"Capital City Bank",,Open,10/03/2019,,"500 to 999",81,"AL, FL, GA"
"Capital City Bank",,Terminated,01/31/2011,11/03/2019,"1,000 to 2,499",73,"AL, FL, GA"
"Capital City Bank Group, Inc",,Terminated,01/31/2011,02/04/2011,"5 to 9",73,"AL, FL, GA"
"Capital Communication FCU Funding LLC",,Open,04/19/2018,,"100 to 499",1,NY
"Capital Communications Federal Credit Union",,Open,07/01/2008,,"100 to 499",1,NY
"Capital Community Bank","Capital Community Bank",Open,09/21/2017,,"20 to 99",1,UT
"CAPITAL COMMUNITY CREDIT UNION",,Open,05/04/2005,,"100 to 499",2,MI
"Capital Credit Union",,Open,09/22/2009,,"100 to 499",12,WI
"Capital Credit Union","Capital Credit Union",Open,09/25/2018,,"100 to 499",1,WI
"Capital Design Associates Group, LLC",,Open,04/04/2019,,"5 to 9",1,SC
"Capital Design Associates Group, LLC","Capital Design Associates Group, LLC",Open,06/19/2017,,"5 to 9",1,SC
"Capital Design Associates Group. LLC",,Terminated,01/27/2015,04/10/2016,"5 to 9",1,SC
"Capital Directions",,Open,10/23/2012,,"10 to 19",1,GA
"Capital Fiduciary Advisors",,Terminated,04/08/2016,05/17/2019,"10 to 19",2,"VA, WV"
"Capital Financial & Insurance Services, Inc.",,Open,10/07/2012,,"5 to 9",1,CA
"Capital Financial Group, LLC",,Open,08/24/2018,,"20 to 99",2,TN
"Capital Group Companies",,Terminated,12/26/2007,06/30/2012,"100 to 499",1,AZ
"Capital Guardian Holding, LLC",,Open,12/23/2015,,"20 to 99",9,"FL, MA, NC, NJ, NY, PA, TX, UT, VA"
"Capital Guardian Leasing, Inc",,Terminated,02/25/2013,03/16/2019,"20 to 99",9,"CA, FL, MA, NC, NJ, NY, TX, UT, VA"
"Capital Impact Partners",,Open,07/24/2015,,"20 to 99",3,"CA, MI, VA"
"Capital Insight Partners, LLC",,Terminated,07/08/2010,08/29/2013,"5 to 9",1,AZ
"Capital Insurance Group, LLC",,Open,06/25/2019,,"20 to 99",16,"MI, NC, OH, VA, WV"
"Capital Integration Systems LLC",,Open,04/08/2014,,"20 to 99",1,NY
"Capital Investigations, Inc.",,Open,07/07/2014,,"5 to 9",1,GA
"Capital Investment Advisors, LLC","Capital Investment Advisors, LLC",Open,04/11/2013,,"10 to 19",1,GA
"Capital Lending Group Inc.",,Open,09/24/2010,,"10 to 19",1,GA
"Capital Management LLC",,Open,09/15/2015,,"20 to 99",2,"MA, NY"
"Capital Management Services",,Open,02/02/2011,,"100 to 499",1,SC
"Capital Management Services",,Open,09/29/2016,,"500 to 999",2,NY
"Capital Market Services, LLC",,Open,02/01/2008,,"100 to 499",1,NY
"Capital Markets Compliance LLC",,Open,01/07/2014,,"10 to 19",1,GA
"capital mortgage llc",,Open,11/24/2014,,"5 to 9",1,ID
"Capital one",,Open,01/10/2020,,"1,000 to 2,499",1,VA
"Capital One",,Terminated,12/06/2013,10/28/2015,"10,000 and over",1068,"CA, CT, DC, DE, FL, GA, IL, LA, MA, MD, MN, NJ, NV, NY, OK, OR, PA, SD, TX, VA, WA"
"Capital One",,Open,09/11/2015,,"10,000 and over",148,"AL, CA, CO, CT, DC, DE, FL, GA, IL, LA, MA, MD, MN, NC, NJ, NV, NY, OH, OK, OR, PA, SD, TN, TX, VA, WA, WI"
"Capital One",,Open,03/16/2015,,"500 to 999",1,VA
"Capital One",,Open,10/27/2014,,"100 to 499",1,OR
"capital One bank",,Open,03/16/2014,,"2,500 to 4,999",1,TX
"Capital Pacific Mortgage, Inc.",,Open,01/02/2008,,"10 to 19",1,AZ
"Capital Partners, Inc",,Terminated,10/04/2012,11/15/2014,"10 to 19",1,FL
"Capital Planning Advisory Group",,Open,06/12/2006,,"5 to 9",1,PA
"Capital Premium Financing Inc",,Open,04/12/2018,,"100 to 499",1,UT
"Capital Premium Financing, Inc.",,Open,02/06/2017,,"20 to 99",1,UT
"CAPITAL PROCESSING NETWORK",,Open,08/15/2012,,"100 to 499",1,AZ
"Capital Stack, LLC","Capital Stack, LLC",Open,11/15/2018,,"20 to 99",1,NY
"Capital Strategies Group, Inc.",,Open,03/28/2012,,"20 to 99",1,AL
"CAPITAL WEALTH ADVISORS LTD",,Open,03/16/2015,,"5 to 9",1,WI
"Capital West Bank",,Open,12/20/2013,,"20 to 99",3,"CO, WY"
"CapitalG Management Company LLC",,Open,08/08/2018,,"20 to 99",1,CA
"Capitalogix Trading LP",,Open,11/04/2012,,"5 to 9",1,TX
"Capitalogix Trading LP",,Open,01/24/2017,,"10 to 19",1,TX
"CapitalSource Inc.",,Terminated,06/22/2012,04/27/2015,"500 to 999",8,"AZ, GA, MO, NC, TN, UT"
"CapitalSouth Bank",,Open,02/04/2009,,"100 to 499",12,"AL, FL"
"CapitalStack, LLC",e-Prodigy,Open,03/01/2016,,"20 to 99",1,NY
"Capitas Distributors, Inc.",,Terminated,06/13/2012,07/31/2014,"20 to 99",3,"AL, AZ, UT"
"Capitol Bancorp Limited",,Open,12/18/2007,,"500 to 999",38,"AZ, CA, GA, IN, MI, MO, NC, NM, NV, OH, OR"
"Capitol Bancorp Limited Arizona Holding",,Open,03/17/2009,,"20 to 99",23,"AZ, CA, CO"
"Capitol City Bank & Trust Company",,Open,11/19/2009,,"100 to 499",1,GA
"Capitol Federal Savings",,Open,12/06/2016,,"500 to 999",3,KS
"Capitol Financial Services of Spartenburg, Inc",,Open,08/31/2016,,"20 to 99",2,"NC, SC"
"Capitol Financial Solutions",,Open,07/31/2015,,"20 to 99",1,NC
"Capitol Group Health Services, Inc.",,Open,08/20/2014,,"10 to 19",1,GA
"Capitol Insurance Company",,Open,05/10/2019,,"20 to 99",1,PA
"Capitol Loans of MS Inc",,Open,02/14/2012,,"10 to 19",1,MS
"Capitol Special Risks, Inc.",,Terminated,02/07/2012,03/05/2015,"20 to 99",1,GA
"CAPLINE FINANCIAL GROUP, LLC",,Terminated,07/25/2011,01/09/2012,"20 to 99",1,NV
"CAPM, LLC",,Open,06/29/2016,,"5 to 9",1,NY
"Capmark Bank",,Terminated,10/06/2010,01/21/2016,"100 to 499",7,"AL, CA, CO, IL, PA, UT, VA"
"Capmark Finance, Inc.",,Open,07/23/2010,,"20 to 99",1,UT
"Capon Valley Bank",,Open,08/01/2019,,"20 to 99",1,WV
"Cappico Inc","Cappico Inc.",Open,04/29/2019,,"5 to 9",1,CA
"Caprock Credit Corporation",,Open,06/19/2018,,"5 to 9",1,TX
"CapSource INC","CapSource INC",Open,02/13/2020,,"10 to 19",1,NV
"CapSouth Partners, Inc.",,Open,04/09/2018,,"10 to 19",4,"AL, GA, NC"
"CapSouth Partners, Inc.","CapSouth Partners, Inc.",Open,03/30/2012,,"10 to 19",2,"AL, GA"
"CapStar Bank",,Open,07/07/2016,,"100 to 499",1,TN
"Capstone Bancshares, Inc","Capstone Bank",Open,01/13/2012,,"20 to 99",1,AL
"CapStone Bank",,Open,08/19/2011,,"20 to 99",1,NC
"Capstone Corporate Finance LLC","Capstone Headwaters",Open,04/04/2019,,"20 to 99",4,"CA, CO, IL, MA"
"Capstone Hire Benefits Consulting, LLC","Capstone Benefits Consulting, LLC",Open,04/19/2019,,"5 to 9",1,GA
"Capstone Insurance Services, LLC",,Open,08/22/2013,,"10 to 19",1,SC
"Capstone Investment Advisors, LLC",,Open,04/24/2012,,"20 to 99",2,"CA, NY"
"Capstone ISG",,Open,12/02/2013,,"20 to 99",1,GA
"Capstone Mortgage",,Open,01/02/2014,,"10 to 19",1,AZ
"Capstone Private Mortgage Company","Capstone Mortgage",Open,04/23/2013,,"10 to 19",1,AZ
"Capstone Title",,Open,05/02/2019,,"20 to 99",1,TX
"Capstone Underwriters, LLC",,Open,03/02/2020,,"10 to 19",1,TX
"CapTrust Advisors, LLC",,Open,05/14/2014,,"20 to 99",1,FL
"Capula Investment US Lp",,Open,02/07/2018,,"20 to 99",1,CT
"Car Financial",,Terminated,09/12/2008,03/02/2020,"2,500 to 4,999",1,FL
"Car Financial Services Guam Inc.",,Open,05/01/2017,,"20 to 99",1,GU
"CAR Financial Services Inc.",,Open,05/01/2017,,"20 to 99",1,GA
"CAR Servicing LLC",,Open,05/01/2017,,"20 to 99",1,GA
"Car Val Investors LLC",,Open,11/16/2007,,"100 to 499",1,MN
"Caravus, LLC",Caravus,Open,01/19/2018,,"20 to 99",1,MO
"CARDAY ASSOCIATES, INC.",,Open,05/02/2019,,"100 to 499",4,"DC, MD, WI"
CardConnect,,Open,03/02/2017,,"20 to 99",6,"CO, HI, KS, OH, PA, SC"
"CardFlex Financial Services, Inc",,Open,11/18/2009,,"20 to 99",1,CA
"Cardinal Brokerage Insurance Agency, Inc.",,Open,02/26/2010,,"100 to 499",1,OH
"Cardinal Credit Union Inc",,Open,11/21/2018,,"100 to 499",6,OH
"Cardinal Financial Company, Limited Partnership","Cardinal Financial, Limited Partnership",Open,10/12/2015,,"500 to 999",49,"AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
"Cardinal Financial Company, LP","Sebonic Financial",Open,11/19/2014,,"100 to 499",2,NC
"Cardpool, Inc",,Open,05/29/2012,,"20 to 99",3,"CA, IL, NV"
"CardServ Inc.",,Open,06/24/2008,,"20 to 99",1,MA
"Cardtronics USA Inc",,Open,05/24/2012,,"500 to 999",6,"IL, MD, MN, TX"
"Care 1st Health Plan",,Open,02/14/2017,,"500 to 999",4,"CA, TX"
"Care N Care Insurance Company of NC dba Health Team",,Open,10/14/2017,,"20 to 99",1,NC
"Care1st Health Plan Arizona",,Open,12/05/2007,,"100 to 499",1,AZ
"CareFirst of Maryland, Inc.",,Terminated,12/16/2008,03/02/2020,"5,000 to 9,999",15,MD
"CareFirst of Md., Inc",,Open,08/06/2014,,"2,500 to 4,999",12,MD
"Carefree Insurance Services",,Terminated,06/18/2010,01/23/2012,"10 to 19",1,FL
"Carefree Insurance Services, Inc.",,Open,01/23/2012,,"20 to 99",4,FL
"Careington International Corporation",,Open,05/13/2009,,"100 to 499",1,TX
"Carelink Health Plan, Inc.",,Open,10/26/2011,,"20 to 99",2,WV
Carelogic,,Open,02/05/2015,,"5 to 9",1,TX
CareOregon,,Open,03/15/2016,,"500 to 999",1,OR
"CareSource Management Group Co.",,Open,02/07/2014,,"2,500 to 4,999",21,"AZ, CO, FL, GA, IN, KY, MI, NC, NJ, NY, OH, OR, PA, SC, TX, UT, WI, WV"
"CareWorks Family of Companies",,Open,06/16/2017,,"500 to 999",2,OH
"Carezone Financial Services LLC",,Open,09/11/2018,,"20 to 99",1,CA
"Carfagno Insurance Services, Inc. dba Insurance Designers of the Southwest",,Open,02/27/2008,,"5 to 9",1,AZ
"CarFinance Capital LLC",,Open,06/25/2014,,"100 to 499",2,"CA, TX"
"Cargill AgHorizons",,Open,11/16/2007,,"1,000 to 2,499",16,"MN, MO"
"Cargill Animal Nutrition",,Open,11/16/2007,,"1,000 to 2,499",5,MN
"Cargill Corn Milling",,Open,11/16/2007,,"1,000 to 2,499",7,"IA, IL, IN, ND, NE, OH, TN"
"Cargill Deicing Technologies",,Open,11/16/2007,,"500 to 999",4,"LA, NY, OH"
"Cargill Dressings, Sauces, and Oils",,Open,11/16/2007,,"1,000 to 2,499",13,"CA, FL, GA, IA, IL, KS, MN, MO, NC, OH"
"Cargill Ferrous International",,Open,12/11/2007,,"1,000 to 2,499",5,TX
"Cargill Financial Service Center",,Open,10/31/2008,,"100 to 499",1,ND
"Cargill Flavor System",,Open,12/06/2007,,"1,000 to 2,499",5,OH
"Cargill Food Ingredient Systems North America",,Open,11/16/2007,,"1,000 to 2,499",7,"IA, MN, OH"
"Cargill Foodservice North America",,Open,01/30/2008,,"1,000 to 2,499",5,MN
"Cargill Global Mobility",,Open,01/30/2008,,"1,000 to 2,499",1,MN
"Cargill Grain and Oilseed Supply Chain",,Open,11/16/2007,,"1,000 to 2,499",30,"AL, FL, GA, IA, IL, IN, KS, LA, MN, MO, NC, ND, NY, OH, TX, WA"
"Cargill Plant Ops",,Open,11/16/2007,,"1,000 to 2,499",5,MN
"Cargill Research",,Open,11/16/2007,,"1,000 to 2,499",6,MN
"Cargill Talent Recruiting",,Open,11/16/2007,,"1,000 to 2,499",1,MN
"Cargill US Central North",,Open,05/26/2017,,"10,000 and over",1,MN
"Cargill US Central South and West",,Open,05/26/2017,,"10,000 and over",1,MN
"Cargill US East",,Open,05/26/2017,,"10,000 and over",1,MN
"Cargill, Incorporated",,Open,11/16/2007,,"1,000 to 2,499",1,MN
"Cargill, Incorporated - Corporate Account",,Terminated,07/30/2007,03/02/2020,"10,000 and over",35,"MN, MO"
"Caring Foundation",,Terminated,05/02/2014,09/28/2016,"20 to 99",1,PA
"Caring Foundation",,Open,08/17/2016,,"100 to 499",1,PA
"Carl Nulsen","Multi Group Financial",Open,09/11/2017,,"20 to 99",1,TX
"Carl Warren & Company",,Open,05/19/2014,,"100 to 499",1,CA
"Carl Warren & Company",,Open,10/01/2017,,"100 to 499",9,CA
"Carl Warren & Company",,Open,06/10/2009,,"100 to 499",1,GA
"Carl Warren & Company",,Open,06/14/2012,,"10 to 19",1,CA
"Carlson Capital, L.P.",,Open,07/17/2014,,"100 to 499",1,TX
"CARLTON FINANCIAL CORPORATION",,Terminated,09/08/2009,10/02/2011,"10 to 19",1,AZ
"Carlyle Capital Markets",,Open,06/22/2009,,"5 to 9",1,TX
"Carnow Acceptance Corp. Inc.",,Terminated,11/22/2010,11/23/2010,"5 to 9",1,SC
"Caro Federal Credit Union",,Open,10/27/2011,,"20 to 99",3,SC
"Carol Stephens","Liberty Tax",Open,01/03/2017,,"20 to 99",3,GA
"Carolas Tax Assistance LLC",,Open,10/19/2018,,"20 to 99",1,CO
"Carolina Alliance Bank",,Open,06/28/2010,,"20 to 99",1,SC
"Carolina Auto Acceptance, LLC",,Open,10/01/2018,,"5 to 9",1,SC
"Carolina Bank",,Terminated,07/13/2011,12/01/2011,"100 to 499",1,NC
"Carolina Bank",,Open,11/23/2011,,"100 to 499",1,NC
"CAROLINA BANK & TRUST CO",,Open,06/01/2017,,"100 to 499",1,SC
"CAROLINA BANK & TRUST CO",,Open,07/27/2011,,"100 to 499",1,SC
"CAROLINA BENEFITS & PLANNING INC.",,Open,07/08/2014,,"5 to 9",1,NC
"Carolina Espinoza Insurance & Financial Services Inc.",,Open,10/05/2018,,"5 to 9",1,IA
"Carolina Farm Credit, ACA",,Open,12/31/2012,,"100 to 499",1,NC
"Carolina Finance",,Open,03/11/2019,,"20 to 99",8,"NC, SC, VA"
"Carolina Finance, LLC",,Open,05/23/2013,,"20 to 99",8,"NC, VA"
"Carolina Financial Corporation",,Open,07/10/2009,,"100 to 499",1,SC
"Carolina Financial Corportation","CresCom Bank",Open,09/11/2019,,"500 to 999",1,SC
"Carolina First Bank",,Terminated,10/22/2007,03/02/2020,"2,500 to 4,999",100,"FL, NC, SC"
"Carolina First Bank - Midlands",,Terminated,06/09/2009,10/01/2011,"500 to 999",25,SC
"Carolina First Bank - North Carolina",,Terminated,06/10/2009,12/08/2010,"100 to 499",27,NC
"Carolina First Bank - Piedmont",,Terminated,06/10/2009,10/01/2011,"20 to 99",5,SC
"Carolina First Bank - SC Coast",,Terminated,02/23/2009,10/01/2011,"100 to 499",26,SC
"Carolina First Bank - Upstate",,Terminated,06/10/2009,10/01/2011,"500 to 999",30,SC
"Carolina Foothills Federal Credit Union",,Open,12/19/2011,,"20 to 99",1,SC
"Carolina Foothills Federal Credit Union",,Open,11/01/2019,,"20 to 99",5,SC
"Carolina Health Connections, LLC",,Open,07/31/2019,,"5 to 9",1,SC
"Carolina Medical Homes, LLC",,Open,04/18/2012,,"10 to 19",1,SC
"Carolina One Mortgage, LLC",,Open,05/12/2015,,"20 to 99",1,SC
"Carolina Payday Loans Inc",,Open,08/25/2016,,"20 to 99",1,GA
"Carolina Payday Loans, Inc",,Open,02/24/2015,,"20 to 99",1,GA
"Carolina Payday Loans, Inc","Quick Cash",Open,08/12/2010,,"100 to 499",1,GA
"Carolina Premier Bank",,Terminated,01/19/2016,01/21/2018,"20 to 99",2,"NC, SC"
"Carolina Premier Bank","Carolina Premier Bank",Open,09/20/2013,,"20 to 99",1,NC
"Carolina Title Loans",,Open,08/12/2010,,"100 to 499",1,GA
"Carolina Title Loans Inc",,Open,08/25/2016,,"20 to 99",1,GA
"Carolina Title Loans, Inc",,Open,02/24/2015,,"20 to 99",1,GA
"Carolina Trust Bank",,Terminated,07/01/2013,02/07/2020,"20 to 99",8,NC
"Carolina Trust Federal Credit Union",,Open,10/26/2011,,"20 to 99",1,SC
"Carolinas Best Finance Company",,Open,03/08/2012,,"20 to 99",1,SC
"Carolinas Investment Consulting LLC",,Open,06/09/2017,,"20 to 99",1,NC
"Carolinas Telco Federal Credit Union",,Open,03/04/2010,,"20 to 99",10,"NC, SC"
"Carolinas Wealth Management",,Open,05/31/2012,,"10 to 19",4,SC
"Caroline Pistole State Farm",,Open,01/03/2013,,"5 to 9",1,TN
"Carolyn Bailey, State Farm Insurance","Carolyn Bailey, State Farm Insurance",Terminated,11/11/2013,09/09/2016,"5 to 9",1,SC
"Carpenter Evert & Associates","Carpenter Evert & Associates",Open,09/24/2019,,"10 to 19",1,MN
"Carpenters Southwest Administrative Corporation","Southwest Carpenters Trusts",Open,07/31/2015,,"20 to 99",1,CA
"Carrie Johnson Agency Inc","Carrie Johnson Insurance",Open,03/25/2013,,"5 to 9",1,SC
"Carrier & Technology Solutions","CTS Risk Services",Open,04/05/2018,,"500 to 999",5,"FL, MO, SC"
"Carrier Cash LLC",,Terminated,09/14/2012,05/11/2014,"10 to 19",3,"FL, GA, TX"
"Carrington Capital Management, LLC",,Open,10/24/2019,,"20 to 99",2,"CA, CT"
"Carrington Document Services, LLC",,Open,10/24/2019,,"5 to 9",1,CA
"Carrington Foreclosure Services, LLC",,Open,10/24/2019,,"5 to 9",1,CA
"Carrington Mortgage Holdings, LLC",,Open,11/05/2019,,"100 to 499",11,"AZ, CA, CT, FL, IN, NY, TX"
"Carrington Mortgage Services, LLC",,Open,11/05/2019,,"1,000 to 2,499",26,"AZ, CA, CT, FL, HI, IN, MD, MO, NV, OH, RI, TN, TX, VA"
"Carrington Security Company, LLC",263294795,Open,11/14/2019,,"20 to 99",7,"AZ, CA, CT, FL, IN, TX"
"Carroll Bank & Trust",,Open,04/17/2015,,"20 to 99",1,TN
"Carroll County Trust Company",,Open,09/29/2008,,"20 to 99",1,MO
"Carroll Enterprises",,Terminated,02/03/2015,06/10/2017,"100 to 499",1,MA
"Carroll Enterprises",,Open,06/15/2017,,"100 to 499",2,"MA, MN"
"Carroll Financial Associates",,Open,05/09/2013,,"20 to 99",1,NC
"Carroll Insurance Agency, Ltd",,Open,08/31/2018,,"20 to 99",1,TX
"Carrot Fertility, Inc.",,Open,02/02/2020,,"20 to 99",5,"CA, MO, NV, NY"
"Carson City Investment Services, Incorporated",,Open,11/08/2007,,"20 to 99",11,NV
"Carson Group Holdings LLC",,Open,04/29/2016,,"20 to 99",1,NE
"Carson Group Inc",,Terminated,01/14/2015,06/12/2016,"20 to 99",1,NE
"Carson Pacific LLC",Peak,Open,01/14/2015,,"20 to 99",1,NE
"CARTER BANK & TRUST",,Open,12/20/2012,,"1,000 to 2,499",128,"NC, VA"
"Carter Bank & Trust",,Open,12/18/2019,,"1,000 to 2,499",106,"NC, VA"
"Carter Federal Credit Union",,Open,08/23/2011,,"20 to 99",2,"AR, LA"
